,nom,prenom,age,taille,poids,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,sexe_F,sexe_H,sport_licence_non,sport_licence_oui,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_non,smoker_oui,nationalité_francaise_non,nationalité_francaise_oui,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
0,738,105,73,161.1,67.3,3,857,3.0,0.11,2024-09-28,615.0,1377.97,13157.101646368172,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False
1,410,506,44,168.2,74.9,1,5245,2.0,0.79,2023-06-26,574.0,10000.0,32408.309271881208,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
2,402,437,71,160.3,45.5,4,3792,0.0,0.13,2023-06-13,574.0,5000.0,17975.461375021725,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
3,615,459,62,161.9,87.7,1,3291,3.0,0.32,2024-01-12,574.0,10000.0,16004.737730594868,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
4,922,442,18,178.0,77.6,1,3893,3.0,0.66,2023-02-16,574.0,5000.0,10437.682759868923,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
5,372,274,65,179.5,61.5,1,2577,3.0,0.58,2023-04-03,574.0,5000.0,500.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
6,7,124,22,170.8,60.9,3,714,0.0,0.46,2023-03-01,772.0,699.57,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False
7,927,484,54,170.0,61.3,0,2629,3.0,0.22,2023-06-14,574.0,10000.0,500.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
8,289,435,61,175.2,58.5,4,1572,3.0,0.85,2024-11-15,356.0,5000.0,4494.300952230585,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
9,278,339,28,161.6,81.2,3,500,2.0,0.66,2021-12-28,356.0,10000.0,500.0,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
10,526,459,28,181.8,81.1,3,2847,3.0,0.37,2020-03-14,611.0,518.38,22788.001263240207,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
11,981,403,24,169.1,68.1,4,3440,2.0,0.14,2022-09-17,633.0,5000.0,18070.091787237645,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
12,846,328,42,170.2,53.4,2,4508,3.0,0.33,2021-02-14,574.0,831.36,8464.616164954017,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False
13,964,173,53,158.2,84.3,4,885,3.0,0.48,2020-11-05,375.0,5000.0,12373.56023523041,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
14,883,293,57,158.9,57.3,3,3114,4.0,0.5,2022-05-19,646.0,10000.0,20050.690685912497,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False
15,935,14,22,155.5,85.0,3,1501,3.0,0.1,2021-07-08,574.0,10000.0,16303.54507463377,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
16,274,35,45,188.0,87.6,1,1840,2.0,0.52,2021-03-02,434.0,596.0,500.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False
17,819,602,37,164.6,95.1,0,2050,5.0,0.5,2025-01-03,634.0,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
18,631,173,35,170.6,83.3,0,3911,3.0,0.67,2022-02-26,574.0,5000.0,500.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
19,867,207,34,157.9,73.9,0,3821,5.0,0.04,2020-07-30,574.0,1141.89,500.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
20,621,329,29,165.3,79.0,4,500,3.0,0.5,2022-09-08,574.0,925.87,17137.888522770147,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
21,890,639,24,169.4,58.2,0,3269,3.0,0.45,2021-12-01,574.0,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False
22,738,501,74,155.1,65.4,2,500,2.0,0.22,2022-10-02,574.0,5000.0,500.0,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
23,647,407,53,181.7,56.7,3,2802,3.0,0.01,2023-07-20,574.0,5000.0,21691.867312082977,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
24,382,618,58,181.7,59.0,2,832,3.0,0.51,2021-09-10,689.0,5000.0,23167.904430812967,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
25,59,487,32,167.1,76.5,4,4635,5.0,0.8,2020-10-05,574.0,10000.0,1986.2237285384024,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
26,111,481,51,152.9,70.6,3,500,4.0,0.96,2022-09-04,574.0,10000.0,500.0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
27,210,484,22,170.3,84.1,0,900,3.0,0.14,2022-05-02,574.0,5000.0,500.0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
28,940,459,58,172.7,76.4,1,3853,2.0,0.4,2024-10-28,656.0,10000.0,500.0,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False
29,627,170,49,174.6,70.0,3,2203,3.0,0.8,2021-11-28,574.0,866.27,16750.901381517804,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False
30,846,471,66,156.9,73.7,4,1672,5.0,0.12,2024-04-08,620.0,5000.0,500.0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
31,358,329,71,169.5,63.8,3,2267,3.0,0.12,2021-01-05,818.0,10000.0,27822.25265661032,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
32,418,648,44,166.2,56.4,0,2350,4.0,0.08,2020-08-11,574.0,10000.0,12238.402238366429,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
33,627,420,28,180.5,73.1,3,2182,3.0,0.02,2024-12-17,574.0,10000.0,18547.59442206578,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False
34,401,35,33,184.1,68.2,1,923,3.0,0.57,2021-07-22,574.0,5000.0,500.0,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
35,614,625,46,180.0,80.4,3,2214,3.0,0.86,2025-06-09,464.0,10000.0,500.0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
36,826,495,52,166.9,66.4,1,1959,5.0,0.5,2025-06-05,574.0,5000.0,500.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
37,434,614,30,184.7,82.7,1,2687,3.0,0.65,2020-04-03,574.0,5000.0,500.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False
38,111,459,27,183.9,60.6,0,1788,3.0,0.9,2025-05-21,461.0,10000.0,500.0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
39,384,28,38,182.2,92.7,3,2125,3.0,0.93,2021-10-06,786.0,10000.0,500.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
40,642,450,24,172.9,42.6,2,1389,1.0,0.6,2021-06-04,574.0,793.17,1366.7152302536567,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False
41,192,294,31,151.7,72.7,0,2850,3.0,0.89,2021-01-30,574.0,10000.0,500.0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
42,234,320,30,153.3,66.0,3,1809,4.0,0.28,2025-03-16,763.0,5000.0,500.0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
43,515,357,24,171.2,80.3,3,4370,3.0,0.15,2024-06-05,804.0,10000.0,7915.101090898372,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
44,555,451,20,161.2,37.6,3,4778,0.0,0.4,2021-06-23,574.0,5000.0,28396.908742389693,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
45,195,646,72,171.5,97.1,4,725,3.0,0.8,2025-04-18,574.0,10000.0,18632.93584235897,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
46,629,615,19,169.3,79.9,0,2124,3.0,0.53,2023-03-18,511.0,5000.0,500.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
47,217,178,49,160.0,72.3,1,3422,3.0,0.6,2020-01-07,640.0,5000.0,14326.37709078331,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
48,632,387,47,188.7,73.5,1,3838,2.0,0.5,2022-08-27,574.0,5000.0,500.0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
49,515,626,29,167.4,70.9,0,660,3.0,0.64,2024-12-25,499.0,5000.0,500.0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
50,602,498,64,169.6,60.7,3,2071,3.0,0.6,2021-05-20,574.0,10000.0,16528.519173978777,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
51,953,170,75,178.4,54.2,0,2714,3.0,0.88,2023-03-27,734.0,10000.0,4704.9737016730005,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
52,206,264,39,190.1,82.8,1,2783,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969947,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
53,367,111,60,162.6,77.6,1,1788,3.0,0.56,2024-11-01,726.0,5000.0,10540.674784050036,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
54,365,124,31,181.1,69.4,3,2600,5.0,0.98,2025-05-12,574.0,5000.0,6156.501558240514,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
55,883,581,26,159.7,99.5,4,3008,4.0,0.05,2024-07-23,484.0,5000.0,500.0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False
56,556,165,28,160.2,92.5,2,500,0.0,0.4,2024-05-08,805.0,5000.0,500.0,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False
57,921,157,21,168.4,71.1,4,3695,3.0,0.17,2022-04-26,777.0,5000.0,22775.8955135935,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
58,856,403,70,172.9,70.9,4,3304,3.0,0.28,2025-01-08,497.0,5000.0,8853.723228062805,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
59,3,262,42,185.9,57.8,2,897,3.0,0.05,2025-05-15,574.0,5000.0,11778.343548052928,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
60,301,634,62,184.7,67.1,3,4278,5.0,0.7,2022-01-12,455.0,10000.0,31072.702663736723,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
61,979,379,37,181.5,91.8,3,3072,3.0,0.56,2022-01-23,373.0,5000.0,21531.409941811824,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False
62,269,426,34,174.5,75.3,0,2537,0.0,0.97,2025-04-03,574.0,10000.0,500.0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
63,186,180,37,164.1,74.1,3,4525,2.0,0.81,2024-12-10,761.0,949.24,10946.391315339892,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
64,775,528,30,163.1,84.3,3,1295,3.0,0.52,2020-05-02,574.0,5000.0,500.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
65,712,108,75,176.9,66.4,4,1859,4.0,0.02,2021-10-06,574.0,547.03,500.0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False
66,421,189,34,181.6,66.8,2,1566,5.0,0.28,2020-05-22,418.0,5000.0,1992.4825524566772,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
67,33,538,55,172.2,91.8,1,3929,5.0,0.4,2025-05-29,506.0,5000.0,15002.912094814255,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
68,883,459,32,143.5,82.1,0,3770,3.0,0.4,2022-11-08,574.0,5000.0,500.0,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
69,234,32,71,175.2,71.9,0,4747,3.0,0.12,2020-11-04,400.0,5000.0,500.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False
70,280,550,44,168.8,56.1,3,3214,2.0,0.82,2020-04-25,402.0,5000.0,10488.968596578909,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
71,627,329,70,169.1,75.5,4,4602,3.0,0.36,2025-02-04,574.0,5000.0,28770.26971420019,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
72,653,611,60,165.9,67.6,2,3203,3.0,0.12,2020-08-29,440.0,944.44,500.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
73,467,552,70,165.1,77.1,4,3865,3.0,0.52,2024-07-06,574.0,1128.66,37282.162849122215,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
74,58,535,54,180.3,75.4,0,1851,2.0,0.67,2023-10-12,574.0,348.33,10767.439217607673,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
75,943,1,61,160.7,83.0,3,1598,3.0,0.39,2024-06-24,321.0,10000.0,24759.669493278125,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
76,404,648,56,177.9,61.9,0,1770,3.0,0.83,2022-11-08,352.0,185.52,4161.441442592443,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
77,707,294,33,168.1,88.1,3,1083,4.0,0.49,2022-01-29,574.0,10000.0,20879.755904736496,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
78,938,330,63,183.7,56.2,4,3127,3.0,0.17,2023-06-10,574.0,5000.0,14801.426364952236,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
79,657,206,33,193.2,42.5,1,3041,1.0,0.66,2021-03-13,574.0,627.58,11145.183005926978,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
80,39,316,34,163.0,81.6,4,2741,0.0,0.6,2022-07-22,573.0,5000.0,500.0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
81,321,546,47,167.4,59.2,4,3059,2.0,0.69,2022-02-05,574.0,5000.0,28698.200373046937,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
82,531,363,26,184.2,77.3,0,2663,2.0,0.51,2023-11-30,843.0,748.46,500.0,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
83,767,506,46,168.0,66.4,4,3361,3.0,0.65,2020-08-18,574.0,10000.0,16872.53990370362,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
84,342,343,40,155.4,82.9,4,2530,3.0,0.7,2024-02-29,454.0,10000.0,500.0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
85,74,193,43,177.3,83.2,4,2660,3.0,0.53,2020-03-04,837.0,926.62,37114.160550787055,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
86,547,275,55,168.4,80.0,4,500,4.0,0.97,2020-09-26,718.0,559.26,29358.17769561137,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
87,950,655,18,158.6,77.5,0,2023,0.0,0.89,2023-01-16,574.0,1032.32,500.0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
88,964,206,62,171.4,77.2,2,904,5.0,0.29,2021-08-15,561.0,1065.43,6712.726721442828,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
89,736,584,45,173.3,68.6,4,568,4.0,0.51,2023-07-13,574.0,10000.0,500.0,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True
90,556,266,29,175.2,69.5,1,3624,0.0,0.21,2025-04-01,574.0,1073.5,500.0,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
91,206,148,30,170.6,54.3,3,2285,3.0,0.07,2021-09-27,574.0,5000.0,24341.03004691129,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
92,200,614,74,159.7,95.8,3,1823,0.0,0.26,2024-02-06,574.0,5000.0,9958.305010076558,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
93,448,39,42,173.8,71.8,0,2040,3.0,0.29,2022-10-18,521.0,10000.0,15699.8867602253,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
95,667,621,41,179.5,65.6,2,2321,1.0,0.53,2021-12-25,574.0,5000.0,15785.751255071553,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
96,390,181,30,179.1,71.9,3,5481,3.0,0.08,2024-12-09,307.0,5000.0,22240.901666635506,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
97,717,351,23,162.2,72.1,1,3627,3.0,0.77,2022-10-08,574.0,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
98,747,165,74,171.8,61.8,2,1216,1.0,0.79,2024-10-29,574.0,5000.0,11292.029477601953,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False
99,860,330,22,190.0,63.9,1,1731,2.0,0.25,2021-11-18,574.0,5000.0,4529.690297241665,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
100,192,336,71,155.9,37.0,0,4762,4.0,0.03,2023-05-04,396.0,1486.62,500.0,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
101,175,453,41,175.3,73.0,2,3480,3.0,0.86,2020-02-22,574.0,10000.0,17264.275901828485,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
102,723,296,18,168.4,73.9,0,4463,3.0,0.15,2022-11-23,747.0,5000.0,500.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
103,355,16,18,170.9,61.7,4,1668,3.0,0.83,2023-03-06,514.0,1149.82,25390.88273988203,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
104,846,522,36,193.8,73.4,1,974,3.0,0.18,2022-06-05,574.0,650.62,500.0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
105,556,42,41,154.1,97.5,3,1993,3.0,0.47,2025-01-19,384.0,5000.0,1281.9229939424142,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
106,45,178,59,156.8,75.3,0,3359,3.0,0.58,2020-08-22,574.0,5000.0,500.0,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False
107,779,165,18,162.9,79.1,2,2863,3.0,0.34,2020-01-03,574.0,1064.25,4124.384923241231,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
108,787,435,52,163.6,39.3,1,2217,3.0,0.59,2022-07-03,574.0,5000.0,1703.2091550614111,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
109,906,248,44,159.6,84.8,3,3603,3.0,0.34,2023-06-23,574.0,5000.0,18161.86602584039,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
110,500,257,64,170.7,71.5,4,3097,3.0,0.83,2024-10-13,574.0,5000.0,500.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
