,nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
0,738,105,73,161.1,67.3,1,0,4,5,0,1,857,0,,0.11,2024-09-28,615.0,1377.97,13157.101646368172
1,410,506,44,168.2,74.9,1,0,1,7,0,1,5245,0,2.0,0.79,2023-06-26,,10000.0,32408.309271881208
2,402,437,71,160.3,45.5,1,0,3,0,1,1,3792,0,0.0,0.13,2023-06-13,,5000.0,17975.461375021725
3,615,459,62,161.9,87.7,0,1,1,0,1,1,3291,1,,0.32,2024-01-12,,10000.0,16004.737730594868
4,922,442,18,178.0,77.6,0,1,1,2,0,1,3893,0,,0.66,2023-02-16,,,10437.682759868923
5,372,274,65,179.5,61.5,0,0,1,5,0,0,2577,3,,0.58,2023-04-03,,5000.0,500.0
6,7,124,22,170.8,60.9,0,0,4,1,1,1,714,0,0.0,0.46,2023-03-01,772.0,699.57,500.0
7,927,484,54,170.0,61.3,1,1,0,7,1,1,2629,2,,0.22,2023-06-14,,10000.0,500.0
8,289,435,61,175.2,58.5,1,1,3,2,1,1,1572,1,,0.85,2024-11-15,356.0,5000.0,4494.300952230585
9,278,339,28,161.6,81.2,0,1,4,3,1,1,500,0,2.0,0.66,2021-12-28,356.0,10000.0,500.0
10,526,459,28,181.8,81.1,0,0,4,1,0,1,2847,2,,0.37,2020-03-14,611.0,518.38,22788.001263240207
11,981,403,24,169.1,68.1,1,0,3,6,1,1,3440,2,2.0,0.14,2022-09-17,633.0,,18070.091787237645
12,846,328,42,170.2,53.4,0,1,2,1,1,1,4508,0,,0.33,2021-02-14,,831.36,8464.616164954017
13,964,173,53,158.2,84.3,0,1,3,3,1,1,885,4,3.0,0.48,2020-11-05,375.0,5000.0,12373.56023523041
14,883,293,57,158.9,57.3,1,1,4,7,1,1,3114,0,4.0,0.5,2022-05-19,646.0,10000.0,20050.690685912497
15,935,14,22,155.5,85.0,1,1,4,5,0,1,1501,2,,0.1,2021-07-08,,10000.0,16303.54507463377
16,274,35,45,188.0,87.6,0,0,1,5,1,1,1840,0,2.0,0.52,2021-03-02,434.0,596.0,500.0
17,819,602,37,164.6,95.1,1,1,0,0,0,0,2050,2,5.0,0.5,2025-01-03,634.0,,500.0
18,631,173,35,170.6,83.3,0,0,0,6,0,0,3911,1,3.0,0.67,2022-02-26,,,500.0
19,867,207,34,157.9,73.9,0,0,0,7,1,1,3821,2,5.0,0.04,2020-07-30,,1141.89,500.0
20,621,329,29,165.3,79.0,1,0,3,0,0,1,500,2,,0.5,2022-09-08,,925.87,17137.888522770147
21,890,639,24,169.4,58.2,0,0,0,1,1,0,3269,0,,0.45,2021-12-01,,,500.0
22,738,501,74,155.1,65.4,1,0,2,4,1,1,500,3,2.0,0.22,2022-10-02,,,500.0
23,647,407,53,181.7,56.7,1,1,4,7,1,1,2802,2,,0.01,2023-07-20,,5000.0,21691.867312082977
