,age,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,sport_licence_non,sport_licence_oui,smoker_non,smoker_oui,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf,imc
0,73,3,857,3.0,0.11,2024-09-28,615.0,1377.97,13157.101646368172,True,False,True,False,True,False,False,False,25.93128171813814
1,44,1,5245,2.0,0.79,2023-06-26,574.0,10000.0,32408.309271881208,True,False,True,False,True,False,False,False,26.47462606799844
2,71,4,3792,0.0,0.13,2023-06-13,574.0,5000.0,17975.461375021725,True,False,False,True,True,False,False,False,17.706974096058968
3,62,1,3291,3.0,0.32,2024-01-12,574.0,10000.0,16004.737730594868,False,True,False,True,False,True,False,False,33.45845600480093
4,18,1,3893,3.0,0.66,2023-02-16,574.0,5000.0,10437.682759868923,False,True,True,False,True,False,False,False,24.491857088751416
5,65,1,2577,3.0,0.58,2023-04-03,574.0,5000.0,500.0,True,False,True,False,False,False,False,True,19.08737517554954
6,22,3,714,0.0,0.46,2023-03-01,772.0,699.57,500.0,True,False,False,True,True,False,False,False,20.875724651591348
7,54,0,2629,3.0,0.22,2023-06-14,574.0,10000.0,500.0,False,True,False,True,False,False,True,False,21.211072664359865
8,61,4,1572,3.0,0.85,2024-11-15,356.0,5000.0,4494.300952230585,False,True,False,True,False,True,False,False,19.058453743666732
9,28,3,500,2.0,0.66,2021-12-28,356.0,10000.0,500.0,False,True,False,True,True,False,False,False,31.09376531712578
10,28,3,2847,3.0,0.37,2020-03-14,611.0,518.38,22788.001263240207,True,False,True,False,False,False,True,False,24.53765728608064
11,24,4,3440,2.0,0.14,2022-09-17,633.0,5000.0,18070.091787237645,True,False,False,True,False,False,True,False,23.815510576919383
12,42,2,4508,3.0,0.33,2021-02-14,574.0,831.36,8464.616164954017,False,True,False,True,True,False,False,False,18.434108762622532
13,53,4,885,3.0,0.48,2020-11-05,375.0,5000.0,12373.56023523041,False,True,False,True,False,False,False,False,33.68329867776072
14,57,3,3114,4.0,0.5,2022-05-19,646.0,10000.0,20050.690685912497,False,True,False,True,True,False,False,False,22.693779330125576
15,22,3,1501,3.0,0.1,2021-07-08,574.0,10000.0,16303.54507463377,False,True,True,False,False,False,True,False,35.15265557634847
16,45,1,1840,2.0,0.52,2021-03-02,434.0,596.0,500.0,True,False,False,True,True,False,False,False,24.784970574920777
17,37,0,2050,5.0,0.5,2025-01-03,634.0,5000.0,500.0,False,True,True,False,False,False,True,False,35.10111039096215
18,35,0,3911,3.0,0.67,2022-02-26,574.0,5000.0,500.0,True,False,True,False,False,True,False,False,28.62114129979151
19,34,0,3821,5.0,0.04,2020-07-30,574.0,1141.89,500.0,True,False,False,True,False,False,True,False,29.64013506917302
20,29,4,500,3.0,0.5,2022-09-08,574.0,925.87,17137.888522770147,True,False,True,False,False,False,True,False,28.91221628972822
21,24,0,3269,3.0,0.45,2021-12-01,574.0,5000.0,500.0,True,False,False,True,True,False,False,False,20.281317909309756
22,74,2,500,2.0,0.22,2022-10-02,574.0,5000.0,500.0,True,False,False,True,False,False,False,True,27.186553381046984
23,53,3,2802,3.0,0.01,2023-07-20,574.0,5000.0,21691.867312082977,False,True,False,True,False,False,True,False,17.174069033699645
24,58,2,832,3.0,0.51,2021-09-10,689.0,5000.0,23167.904430812967,False,True,True,False,False,False,True,False,17.870724391327673
25,32,4,4635,5.0,0.8,2020-10-05,574.0,10000.0,1986.2237285384024,True,False,False,True,True,False,False,False,27.397348581300825
26,51,3,500,4.0,0.96,2022-09-04,574.0,10000.0,500.0,False,True,True,False,False,True,False,False,30.198803083699865
27,22,0,900,3.0,0.14,2022-05-02,574.0,5000.0,500.0,True,False,False,True,False,False,False,False,28.99791015061328
28,58,1,3853,2.0,0.4,2024-10-28,656.0,10000.0,500.0,False,True,False,True,False,False,True,False,25.615844808214778
29,49,3,2203,3.0,0.8,2021-11-28,574.0,866.27,16750.901381517804,True,False,True,False,False,False,True,False,22.961991998729875
30,66,4,1672,5.0,0.12,2024-04-08,620.0,5000.0,500.0,True,False,True,False,True,False,False,False,29.93791842506239
31,71,3,2267,3.0,0.12,2021-01-05,818.0,10000.0,27822.25265661032,True,False,True,False,False,False,False,False,22.206559288554743
32,44,0,2350,4.0,0.08,2020-08-11,574.0,10000.0,12238.402238366429,False,True,True,False,False,False,False,False,20.418181739194655
33,28,3,2182,3.0,0.02,2024-12-17,574.0,10000.0,18547.59442206578,False,True,True,False,False,False,True,False,22.436905794154434
34,33,1,923,3.0,0.57,2021-07-22,574.0,5000.0,500.0,False,True,False,True,False,False,False,True,20.122261919268425
35,46,3,2214,3.0,0.86,2025-06-09,464.0,10000.0,500.0,True,False,False,True,False,False,False,False,24.814814814814817
36,52,1,1959,5.0,0.5,2025-06-05,574.0,5000.0,500.0,True,False,True,False,False,False,False,False,23.837209093608077
37,30,1,2687,3.0,0.65,2020-04-03,574.0,5000.0,500.0,True,False,False,True,True,False,False,False,24.242182628937194
38,27,0,1788,3.0,0.9,2025-05-21,461.0,10000.0,500.0,False,True,True,False,False,False,True,False,17.918810049081575
39,38,3,2125,3.0,0.93,2021-10-06,786.0,10000.0,500.0,False,True,True,False,False,True,False,False,27.924344606293857
40,24,2,1389,1.0,0.6,2021-06-04,574.0,793.17,1366.7152302536567,True,False,False,True,True,False,False,False,14.250155798358287
41,31,0,2850,3.0,0.89,2021-01-30,574.0,10000.0,500.0,False,True,False,True,False,False,True,False,31.590990962021724
42,30,3,1809,4.0,0.28,2025-03-16,763.0,5000.0,500.0,False,True,False,True,False,False,False,True,28.084042774550234
43,24,3,4370,3.0,0.15,2024-06-05,804.0,10000.0,7915.101090898372,False,True,False,True,False,False,True,False,27.397316359507382
44,20,3,4778,0.0,0.4,2021-06-23,574.0,5000.0,28396.908742389693,False,True,False,True,False,False,False,False,14.469641460756488
45,72,4,725,3.0,0.8,2025-04-18,574.0,10000.0,18632.93584235897,True,False,False,True,False,False,False,True,33.01345527798791
46,19,0,2124,3.0,0.53,2023-03-18,511.0,5000.0,500.0,True,False,False,True,True,False,False,False,27.876154514140257
47,49,1,3422,3.0,0.6,2020-01-07,640.0,5000.0,14326.37709078331,True,False,True,False,False,False,False,False,28.242187499999993
48,47,1,3838,2.0,0.5,2022-08-27,574.0,5000.0,500.0,True,False,False,True,False,False,False,False,20.641608596345346
49,29,0,660,3.0,0.64,2024-12-25,499.0,5000.0,500.0,False,True,False,True,True,False,False,False,25.300862584556267
50,64,3,2071,3.0,0.6,2021-05-20,574.0,10000.0,16528.519173978777,True,False,True,False,False,False,False,True,21.102649964400143
51,75,0,2714,3.0,0.88,2023-03-27,734.0,10000.0,4704.9737016730005,False,True,False,True,False,False,True,False,17.029801524261497
52,39,1,2783,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969947,False,True,True,False,False,False,False,True,22.912163674756854
53,60,1,1788,3.0,0.56,2024-11-01,726.0,5000.0,10540.674784050036,True,False,False,True,False,True,False,False,29.350847014005197
54,31,3,2600,5.0,0.98,2025-05-12,574.0,5000.0,6156.501558240514,False,True,False,True,False,True,False,False,21.160336504233136
55,26,4,3008,4.0,0.05,2024-07-23,484.0,5000.0,500.0,True,False,False,True,True,False,False,False,39.013350407718924
56,28,2,500,0.0,0.4,2024-05-08,805.0,5000.0,500.0,False,True,False,True,True,False,False,False,36.04264955946142
57,21,4,3695,3.0,0.17,2022-04-26,777.0,5000.0,22775.8955135935,False,True,False,True,False,False,True,False,25.071794900728378
58,70,4,3304,3.0,0.28,2025-01-08,497.0,5000.0,8853.723228062805,False,True,False,True,False,False,True,False,23.716808593981284
59,42,2,897,3.0,0.05,2025-05-15,574.0,5000.0,11778.343548052928,False,True,False,True,True,False,False,False,16.72511293068251
60,62,3,4278,5.0,0.7,2022-01-12,455.0,10000.0,31072.702663736723,False,True,True,False,True,False,False,False,19.66929207257177
